count,timestamp,y,y_target,z,z_target,vy,vy_target,vz,vz_target,roll,roll_target,pitch,yaw,thrust,joy_roll,joy_pitch,joy_throttle,joy_yaw,dt
165,6108184119000,0.08622625672352163,0.1,0.14999999105930328,0.12000000029802323,-0.012782540490800461,0.01001966347228708,-0.062131475657224655,-0.08999997228384017,0.30652451033429706,-3.0854873196145522,-1.640392903583969,89.94299171193204,0.43308127118164497,-0.06856638488032338,0.0,-0.13383745763671007,0.0,0.061070346000000005
166,6108219037000,0.08622622542003483,0.1,0.14999999105930328,0.12000000029802323,-0.03240745217611263,0.014051745677312634,-0.07066982239484787,-0.08999997228384017,0.2879292313281452,-3.0317098795740387,-1.5632446448424206,89.92494324023829,0.4393632798489077,-0.06737133065720086,0.0,-0.12127344030218457,0.0,0.039923886000000006
167,6108290116000,0.08622628235375177,0.1,0.14999999105930328,0.12000000029802323,-0.014880872492965914,0.02066057646937236,-0.03508278355002403,-0.08999997228384017,0.20271011811470216,-0.5974972270214678,-1.7577925246517914,89.9639672756393,0.4164822431475332,-0.013277716156032618,0.0,-0.16703551370493364,0.0,0.051407769000000006
168,6108324098000,0.08622624826816314,0.1,0.14999999105930328,0.12000000029802323,-0.015574105402382086,0.02066057646937236,-0.02364669181406498,-0.08999997228384017,0.2750761996687751,-0.33527686739456225,-1.5872147340467058,89.93759992320943,0.4132886785074935,-0.007450597053212494,0.0,-0.17342264298501298,0.0,0.047582138
169,6108394138000,0.08622624603713182,0.1,0.14999999105930328,0.12000000029802323,-0.003416801076635803,0.02066057646937236,-0.0601205974817276,-0.08999997228384017,-0.22951930215052,-0.5486108751234912,-1.6842891348232574,89.93625324166462,0.43800434271890376,-0.012191352780522026,0.0,-0.12399131456219248,0.0,0.051817292
170,6108429364000,0.08622628641595487,0.1,0.14999999105930328,0.12000000029802323,-0.017046181472331706,0.02066057646937236,-0.031599365174770355,-0.08999997228384017,-0.3779339249506796,-1.289066011064259,-1.3924857493371345,89.96855091514169,0.41607447447558327,-0.028645911356983536,0.0,-0.16785105104883347,0.0,0.048817422000000006
171,6108498039000,0.0862262277249219,0.1,0.14999999105930328,0.12000000029802323,-0.0175350973566185,0.02066057646937236,-0.10438007861375809,-0.08999997228384017,-0.5602553595346602,0.6599014984299881,-1.4179895796938125,90.07387837224583,0.4624412851306915,0.014664477742888624,0.0,-0.07511742973861701,0.0,0.049600280000000004
172,6108533045000,0.0766456040176049,0.1,0.14999999105930328,0.12000000029802323,-0.010598133161688172,0.023662209151089325,-0.08527973294258118,-0.08999997228384017,-0.8660938693548874,-3.369495722738167,-1.4052461996422114,90.01034156858026,0.4410727905941223,-0.07487768272751483,0.0,-0.1178544188117554,0.0,0.054787158
173,6108569163000,0.08622629939631878,0.1,0.14999999105930328,0.12000000029802323,0.01817235298010834,0.02360140923217734,-0.07143837958574295,-0.08999997228384017,-0.6648949776506842,-0.35005787800184457,-1.3374311692947132,89.99918239231319,0.43174972138539996,-0.007779063955596546,0.0,-0.13650055722920007,0.0,0.055875294000000006
174,6108637034000,0.07664552945606407,0.1,0.14999999105930328,0.12000000029802323,-0.017432742636690864,0.027212386794328844,-0.08188654482364655,-0.08999997228384017,-0.4218509436088015,-2.677280619301678,-1.644806496848576,90.08058558660771,0.4392056263414914,-0.05949512487337062,0.0,-0.12158874731701719,0.0,0.060637941
