count,timestamp,qx,qy,qz,qw,p,q,r,ax,ay,az,x,y,z,vx,vy,vz,roll,pitch,yaw,y_actual,vy_actual
158,6107798084000,0.012551744468510151,-0.007607365492731333,0.7062392234802246,0.7078210115432739,-0.5018947124481201,-0.03479647636413574,-0.0008833023020997643,0.1238204836845398,0.3651385009288788,-10.272689819335938,-0.10538770258426666,0.0,0.14999999105930328,0.048812106251716614,-0.013374382629990578,0.03906404972076416,0.4025859242860519,-1.6330579561599297,89.86607857977185,0.10538741470222661,-0.04884323376279945
159,6107833069000,0.007745709735900164,-0.011361237615346909,0.7062382698059082,0.7078406810760498,-0.2172238826751709,0.03031744994223118,0.02474144473671913,0.3922377824783325,1.2926992177963257,-9.164402961730957,-0.10538770258426666,0.0,0.14999999105930328,0.08582594245672226,-0.01013236865401268,0.024527359753847122,-0.2912862070401705,-1.5485797994824153,89.87408342764452,0.10538744808866098,-0.08584800267076731
160,6107903078000,0.014050943776965141,-0.007466357201337814,0.7072316408157349,0.7068028450012207,0.32861563563346863,0.03254292905330658,-0.05464933067560196,-0.40153610706329346,0.9349697828292847,-9.920754432678223,-0.10538770258426666,0.0,0.14999999105930328,0.07130764424800873,0.005890782922506332,0.006092647090554237,0.5331973481196167,-1.74372405006577,90.0266347913855,0.10538769119716317,-0.07131037496080078
161,6107939052000,0.01971806213259697,-0.005806268192827702,0.7077481746673584,0.7061656713485718,0.3456367552280426,0.12267017364501953,-0.03380934149026871,0.1190473735332489,-1.1362526416778564,-9.392898559570312,-0.09580700099468231,0.0,0.14999999105930328,0.04784248769283295,-0.02446614019572735,-0.0033599892631173134,1.125504619093476,-2.069470515450107,90.10792599194828,0.09580683102402464,-0.047796316857745984
162,6107973119000,0.019895128905773163,-0.005013789050281048,0.7069838643074036,0.7069318890571594,-0.25922903418540955,-0.02332494594156742,0.08097764104604721,0.5610792636871338,-0.47195950150489807,-8.08607006072998,-0.09580700099468231,0.0,0.1599999964237213,0.03003539890050888,-0.0034153468441218138,-0.02198563516139984,1.2063217594391913,-2.0183685217541356,89.98296172505415,0.09580699675851381,-0.030036413207800365
163,6108043030000,0.013180173002183437,-0.011720960028469563,0.7060067653656006,0.7079852819442749,-0.2933405935764313,-0.09167353808879852,0.01349356397986412,0.5499168634414673,0.21655842661857605,-9.756333351135254,-0.09580700099468231,0.0,0.14999999105930328,0.024405527859926224,0.009481417946517467,-0.08422411978244781,0.12111728223935836,-2.0176365664721603,89.83752606395917,0.09580661579218176,-0.024378543265336932
164,6108149901000,0.011629724875092506,-0.008196189999580383,0.7073093056678772,0.7067610621452332,0.11106448620557785,-0.004278795327991247,0.043163951486349106,-0.6706274747848511,-0.4328497052192688,-10.311483383178711,-0.09580700099468231,0.0,0.14999999105930328,0.042595766484737396,-0.019478144124150276,-0.07896359264850616,0.2776733519298036,-1.6066191172329054,90.04053447596338,0.09580697701899352,-0.04258197581717199
165,6108184119000,0.012009112164378166,-0.008236652240157127,0.7067070603370667,0.7073563933372498,-0.01852085255086422,0.040813837200403214,0.016363123431801796,0.40225255489349365,-0.038278814405202866,-9.615599632263184,-0.08622629940509796,0.0,0.14999999105930328,0.012752441689372063,-0.030256938189268112,-0.062131475657224655,0.30652451033429706,-1.640392903583969,89.94299171193204,0.08622625672352163,-0.012782540490800461
166,6108219037000,0.011417331174015999,-0.007876869291067123,0.706599771976471,0.7074775099754333,-0.01734847016632557,0.022362608462572098,-0.004486303776502609,0.21436826884746552,-0.0634140893816948,-10.056427955627441,-0.08622629940509796,0.0,0.14999999105930328,0.03239614516496658,-0.008652609772980213,-0.07066982239484787,0.2879292313281452,-1.5632446448424206,89.92494324023829,0.08622622542003483,-0.03240745217611263
167,6108290116000,0.012094007804989815,-0.009599409997463226,0.7068192958831787,0.7072255611419678,0.06621931493282318,-0.054744865745306015,-0.02318061888217926,0.6600560545921326,0.2670361399650574,-10.535441398620605,-0.08622629940509796,0.0,0.14999999105930328,0.014873998239636421,-0.010935455560684204,-0.03508278355002403,0.20271011811470216,-1.7577925246517914,89.9639672756393,0.08622628235375177,-0.014880872492965914
168,6108324098000,0.011486667208373547,-0.008102853782474995,0.7066752910614014,0.7073982954025269,-0.1121845692396164,-0.036217737942934036,0.029990099370479584,0.21405620872974396,-0.04103575274348259,-9.225262641906738,-0.08622629940509796,0.0,0.14999999105930328,0.01556969340890646,-0.004059573635458946,-0.02364669181406498,0.2750761996687751,-1.5872147340467058,89.93759992320943,0.08622624826816314,-0.015574105402382086
169,6108394138000,0.008970093913376331,-0.01181392464786768,0.7066147327423096,0.7074429988861084,-0.0797991156578064,-0.002597338752821088,-0.004280709195882082,-0.25081396102905273,0.01910930871963501,-10.304858207702637,-0.08622629940509796,0.0,0.14999999105930328,0.0034104243386536837,-0.005733329802751541,-0.0601205974817276,-0.22951930215052,-1.6842891348232574,89.93625324166462,0.08622624603713182,-0.003416801076635803
170,6108429364000,0.006257385015487671,-0.010925959795713425,0.7068282961845398,0.7072730660438538,-0.08506951481103897,-0.0022890730760991573,-0.03823143243789673,0.5487316846847534,0.3294758200645447,-8.558239936828613,-0.08622629940509796,0.0,0.14999999105930328,0.017034854739904404,-0.020640378817915916,-0.031599365174770355,-0.3779339249506796,-1.3924857493371345,89.96855091514169,0.08622628641595487,-0.017046181472331706
171,6108498039000,0.005300614517182112,-0.012203076854348183,0.7074571251869202,0.7066310048103333,-0.059399064630270004,-0.024061957374215126,0.02263106033205986,0.0826556459069252,0.4214720129966736,-9.637389183044434,-0.08622629940509796,0.0,0.14999999105930328,0.017513956874608994,0.016406627371907234,-0.10438007861375809,-0.5602553595346602,-1.4179895796938125,90.07387837224583,0.0862262277249219,-0.0175350973566185
172,6108533045000,0.003328183898702264,-0.0140144731849432,0.7070316672325134,0.7070351243019104,-0.03527075797319412,0.011747647076845169,-0.011368106119334698,0.42801377177238464,0.29310378432273865,-10.006021499633789,-0.07664560526609421,0.0,0.14999999105930328,0.010602595284581184,-0.024720709770917892,-0.08527973294258118,-0.8660938693548874,-1.4052461996422114,90.01034156858026,0.0766456040176049,-0.010598133161688172
173,6108569163000,0.00414988724514842,-0.012355095706880093,0.7069937586784363,0.7070996165275574,0.05780012533068657,0.057479508221149445,-0.022831473499536514,0.06240611895918846,0.9481922388076782,-9.945863723754883,-0.08622629940509796,0.0,0.14999999105930328,-0.01817239448428154,-0.002908372785896063,-0.07143837958574295,-0.6648949776506842,-1.3374311692947132,89.99918239231319,0.08622629939631878,0.01817235298010834
174,6108637034000,0.007555278483778238,-0.012746660970151424,0.7074888348579407,0.7065691351890564,0.11381541192531586,0.0756056159734726,0.04026838764548302,0.001075267675332725,-0.3311931788921356,-10.225509643554688,-0.07664560526609421,0.0,0.14999999105930328,0.017446350306272507,-0.009662690572440624,-0.08188654482364655,-0.4218509436088015,-1.644806496848576,90.08058558660771,0.07664552945606407,-0.017432742636690864
175,6108671025000,0.007569942623376846,-0.013459866866469383,0.7067910432815552,0.7072536945343018,-0.15735922753810883,0.009225181303918362,-0.0007649906328879297,0.7643750309944153,-0.2972375750541687,-10.316685676574707,-0.07664560526609421,0.0,0.14000000059604645,-0.026080552488565445,-0.0195724256336689,-0.06100986897945404,-0.4768536144782393,-1.7042175193531637,89.96959998328154,0.07664559447762982,0.026070164072895988
176,6108739040000,0.005249775946140289,-0.015943991020321846,0.7067065834999084,0.7073076367378235,-0.21291425824165344,0.033784493803977966,0.002730723237618804,0.6512218713760376,0.4451155662536621,-9.942915916442871,-0.07664560526609421,0.0,0.14999999105930328,-0.0011989530175924301,0.016600944101810455,-0.027393603697419167,-0.8661059551825729,-1.717681881688182,89.96427451705135,0.07664559036671408,0.0012093039257784057
177,6108773124000,0.0016289413906633854,-0.018882714211940765,0.7072344422340393,0.7067250609397888,0.09040552377700806,-0.05209152773022652,-0.025099292397499084,0.34751564264297485,0.6421319246292114,-9.694635391235352,-0.07664560526609421,0.0,0.14999999105930328,0.014611403457820415,0.0029576621018350124,-0.07164297252893448,-1.399121355108899,-1.661458610132823,90.06157003682065,0.07664556101227242,-0.014614573324131562
178,6108844210000,0.003879805328324437,-0.013722854666411877,0.7069277763366699,0.7071419954299927,0.10673181712627411,-0.0733596608042717,-0.008230957202613354,0.10039839893579483,-0.02024099789559841,-10.079855918884277,-0.07664560526609421,0.0,0.14999999105930328,-0.03813989460468292,-0.0022567701525986195,-0.043511077761650085,-0.7975429242658095,-1.4264396464725755,89.99256890474963,0.0766456046214536,0.03813960158740472
179,6108879169000,0.0018301738891750574,-0.013958331197500229,0.7069751620292664,0.7070981860160828,-0.22889062762260437,0.016835426911711693,0.05449150502681732,-0.21422068774700165,-0.39438775181770325,-9.418048858642578,-0.07664560526609421,0.0,0.14999999105930328,-0.011507833376526833,0.005993908736854792,-0.04360925033688545,-0.9828105683812438,-1.2793834663915533,90.00100410296909,0.07664560525432441,0.011507728332091438
180,6108914109000,-0.0019430971005931497,-0.01928018592298031,0.7065214514732361,0.7074262499809265,-0.2450784146785736,-0.046519726514816284,0.0025306774768978357,-0.2522715926170349,0.6750959753990173,-10.637007713317871,-0.07664560526609421,0.0,0.14000000059604645,-0.034117139875888824,0.008566899225115776,-0.09101033955812454,-1.7192434848273077,-1.4057749953299525,89.94776559336164,0.07664557341493089,0.03412493581667318
181,6108984111000,-0.004436691757291555,-0.02181185968220234,0.7064588665962219,0.7074039578437805,0.05123741924762726,-0.019739944487810135,-0.04319573566317558,1.2007501125335693,0.9279747009277344,-10.004570007324219,-0.07664560526609421,0.0,0.14000000059604645,-0.024983208626508713,-0.021993594244122505,-0.051457084715366364,-2.1265428435539464,-1.409097568209636,89.94955548893529,0.07664557556039334,0.02496383528422035
182,6109052112000,-0.0002623312175273895,-0.019533654674887657,0.7076218724250793,0.7063211798667908,0.11701784282922745,0.08793675899505615,-0.015063852071762085,-0.40640509128570557,0.5934191942214966,-9.193252563476562,-0.07664560526609421,0.0,0.14000000059604645,-0.012203075923025608,0.0031509448308497667,-0.07305023074150085,-1.6059732415582142,-1.5599446405019168,90.12727829180024,0.07664541615348132,0.012196046230916791
183,6109086094000,-0.0004332909593358636,-0.0192499291151762,0.707419753074646,0.7065314054489136,0.04332127422094345,0.0061438484117388725,0.01815289817750454,0.20640088617801666,0.03713083267211914,-10.868045806884766,-0.07664560526609421,0.0,0.14000000059604645,-0.03224904462695122,-0.008055519312620163,-0.08557574450969696,-1.5963336565917365,-1.523578046854913,90.09322183616487,0.0766455038172257,0.032262108491300956
184,6109120047000,0.0010730479843914509,-0.018246494233608246,0.7064386010169983,0.7075381875038147,-0.16045856475830078,0.08165404945611954,0.01973484456539154,0.17982642352581024,0.7261514663696289,-8.90331745147705,-0.07664560526609421,0.0,0.14000000059604645,-0.06054709479212761,-0.0009829868795350194,-0.021493542939424515,-1.3907443288459498,-1.5664481202399494,89.9299006575366,0.07664554790204073,0.06054584682763737
185,6109189621000,-0.0009837783873081207,-0.022572621703147888,0.7068595886230469,0.7069928646087646,0.017484718933701515,-0.0027321085799485445,-0.005389620084315538,0.3457869291305542,0.31889522075653076,-9.312156677246094,-0.07664560526609421,0.0,0.14000000059604645,-0.025110948830842972,0.017321066930890083,-0.09442929923534393,-1.9093300454143085,-1.7493160880214453,90.01835024285727,0.07664560133516134,0.025105400087612292
186,6109223054000,0.00014243485929910094,-0.022221513092517853,0.7069605588912964,0.7069038152694702,0.13270916044712067,-0.03337574377655983,-0.019712379202246666,0.3388514220714569,0.7872207760810852,-10.647027969360352,-0.07664560526609421,0.0,0.14000000059604645,-0.0338786356151104,0.013401227071881294,-0.08634413033723831,-1.7898506197941255,-1.8118991226088543,90.032904409252,0.07664559262687687,0.033870933834342885
187,6109292033000,0.0004937217454425991,-0.016587570309638977,0.7063291668891907,0.7076888680458069,0.023325346410274506,-0.04390077292919159,0.02143307402729988,0.18093866109848022,0.38701626658439636,-8.708069801330566,-0.07664560526609421,0.0,0.14000000059604645,-0.02874760515987873,0.007255858276039362,-0.06206765025854111,-1.3030422396056143,-1.3852685773392195,89.90556389364349,0.07664550115714942,0.028759525364036045
188,6109326176000,7.72865823819302e-05,-0.016506751999258995,0.7066594958305359,0.7073611617088318,-0.039120227098464966,-0.014319166541099548,-0.01551324874162674,-0.28553667664527893,0.051048096269369125,-10.007156372070312,-0.07664560526609421,0.0,0.14000000059604645,-0.02483854629099369,0.01641629822552204,-0.09591730684041977,-1.3308921911543368,-1.344379897877792,89.95875268640151,0.07664558540499337,0.024850357970150803
189,6109396147000,-9.95551745290868e-05,-0.01816900074481964,0.7067145109176636,0.7072654962539673,0.04921999201178551,0.03486957773566246,0.012444091960787773,0.0779004916548729,0.4229672849178314,-10.133183479309082,-0.07664560526609421,0.0,0.14000000059604645,-0.029015453532338142,-0.02861335501074791,-0.03692970797419548,-1.4801063211739802,-1.4646339215244075,89.97426695745581,0.07664559753583126,0.029002599595543258
190,6109430103000,0.001255759154446423,-0.016125880181789398,0.7062413692474365,0.7077864408493042,0.028081409633159637,0.035107631236314774,0.01961516961455345,0.6153806447982788,0.6797351241111755,-9.260981559753418,-0.07664560526609421,0.0,0.14000000059604645,-0.042222682386636734,0.005114104598760605,-0.07206039875745773,-1.2036587740964517,-1.409681040842127,89.88959726452448,0.07664546297702723,0.04223245831939426
191,6109499092000,0.0034497457090765238,-0.017490573227405548,0.7071612477302551,0.7068274617195129,0.03187091648578644,0.003341399598866701,0.017172520980238914,0.3392302393913269,1.0227991342544556,-9.959131240844727,-0.07664560526609421,0.0,0.14000000059604645,0.004359154030680656,0.005926547572016716,-0.058815427124500275,-1.1385003422637223,-1.696471691172708,90.04390719345793,0.07664558276087059,-0.0043636944123789
192,6109534097000,0.0032278993166983128,-0.01748865842819214,0.7072453498840332,0.7067444324493408,0.10766934603452682,0.0032224808819592,-0.016151731833815575,0.2758001983165741,0.11276833713054657,-9.59842300415039,-0.07664560526609421,0.0,0.12999999523162842,-0.018643049523234367,-0.019945379346609116,-0.06803138554096222,-1.1565138089484435,-1.6781960641325049,90.0575339522495,0.07664556662402461,0.018663068410949075
193,6109570543000,0.006551866419613361,-0.013620861805975437,0.70615154504776,0.7078993916511536,0.17012296617031097,-0.02753896825015545,0.03887459635734558,0.4845181107521057,1.0147559642791748,-9.413597106933594,-0.07664560526609421,0.0,0.12999999523162842,-0.02942626178264618,0.012044781818985939,-0.05629672855138779,-0.5709457958302373,-1.6353072295918087,89.86650689485823,0.07664539723441649,0.02945424495589144
194,6109639117000,0.009972194209694862,-0.01130552589893341,0.707322895526886,0.7067298293113708,0.09755942970514297,-0.003302697790786624,-0.06444913893938065,0.08571381866931915,-0.2995278239250183,-9.661231994628906,-0.07664560526609421,0.0,0.12999999523162842,0.015156793408095837,0.0034248591400682926,-0.08467726409435272,-0.10879787977693622,-1.7241198899450905,90.0496977836948,0.07664557643334771,-0.015159758394420943
195,6109674197000,0.009181641042232513,-0.010616600513458252,0.7074106335639954,0.7066633105278015,-0.10004382580518723,-0.002920088591054082,0.020060759037733078,0.35362425446510315,-0.21397578716278076,-9.794215202331543,-0.07664560526609421,0.0,0.12999999523162842,-0.012833984568715096,-0.016133788973093033,-0.06692057102918625,-0.11715483576090031,-1.6042111967835633,90.06220061746897,0.07664556010116363,0.012851491933797218
196,6109746090000,0.0037875925190746784,-0.012557674199342728,0.7066348791122437,0.7074567079544067,-0.21867923438549042,-0.12156399339437485,0.012399380095303059,0.15753811597824097,0.8102668523788452,-9.635628700256348,-0.07664560526609421,0.0,0.12999999523162842,0.012087865732610226,0.02011956460773945,-0.1102110743522644,-0.71000338810853,-1.324848863067913,89.94161189711002,0.07664556546814537,-0.012067356322726756
197,6109781140000,0.0012323784176260233,-0.014075416140258312,0.707274854183197,0.7067974209785461,0.06103038042783737,-0.013365724124014378,-0.10514505952596664,-0.29845452308654785,0.8801178336143494,-10.498717308044434,-0.07664560526609421,0.0,0.12999999523162842,0.020446591079235077,0.024932505562901497,-0.11460107564926147,-1.0412676500912206,-1.2399887651428378,90.04995779330375,0.07664557613086334,-0.02046832265335096
198,6109851023000,0.003692497732117772,-0.011052761226892471,0.707893431186676,0.7062230706214905,0.12343820929527283,-0.04778946191072464,0.03502681106328964,-0.10493990778923035,-0.356135755777359,-10.473678588867188,-0.07664560526609421,0.0,0.12999999523162842,-0.0022825992200523615,-0.017199687659740448,-0.03880365192890167,-0.5979018654590724,-1.1940858551482099,90.14158662283324,0.07664537124434423,0.0023250952627195333
199,6109886140000,0.003552584908902645,-0.01036815159022808,0.7070912718772888,0.7070373892784119,-0.05686230957508087,0.05347271263599396,0.08412843197584152,0.38051512837409973,0.14851729571819305,-9.728919982910156,-0.07664560526609421,0.0,0.12999999523162842,-0.014466434717178345,-0.013772579841315746,-0.01664116233587265,-0.5523803142434255,-1.127959994409067,90.00980375380546,0.07664560414408406,0.014468791100995915
200,6109920099000,0.0027375463396310806,-0.010847476311028004,0.7063423991203308,0.707781970500946,-0.19435764849185944,0.057027481496334076,-0.015424623154103756,0.22153393924236298,0.15174990892410278,-9.457965850830078,-0.07664560526609421,0.0,0.12999999523162842,0.0032384353689849377,0.005124733783304691,-0.04509933665394783,-0.6561087731398952,-1.1014408408500656,89.88965312383183,0.07664546312097577,-0.003228559560791482
201,6109988741000,0.0011551278876140714,-0.016847560182213783,0.7078468203544617,0.7061640620231628,-0.031154999509453773,0.06888819485902786,-0.004905194044113159,-0.13497266173362732,0.7505396008491516,-9.849247932434082,-0.06706490367650986,0.0,0.12999999523162842,0.02341505140066147,0.003891169559210539,-0.035900212824344635,-1.273603990022602,-1.4571653072938797,90.15256770996113,0.06706466591308763,-0.023425329816477783
202,6110023089000,0.002281380584463477,-0.01797690987586975,0.7074804306030273,0.7065005302429199,0.23883119225502014,0.006442170590162277,0.03780624642968178,0.25829702615737915,-0.20018711686134338,-9.602418899536133,-0.06706490367650986,0.0,0.12999999523162842,0.02759725973010063,-0.00966193899512291,-0.04270421341061592,-1.2733397177709163,-1.6405713300202924,90.09764487442811,0.06706480628550605,-0.02758075354789932
203,6110091050000,0.006657328922301531,-0.01231827400624752,0.7069084644317627,0.707166314125061,0.1432349532842636,-0.003998182248324156,-0.05287075415253639,0.8196030259132385,0.13594955205917358,-9.486156463623047,-0.06706490367650986,0.0,0.12999999523162842,-0.030682411044836044,0.009053380228579044,-0.06043434143066406,-0.45854245007918804,-1.537681625670592,89.98525827720599,0.06706490145669618,0.03068473938792436
204,6110125103000,0.007286162115633488,-0.010578486137092113,0.7072433233261108,0.7068535089492798,-0.041578423231840134,-0.0612599141895771,-0.0028439415618777275,0.18065044283866882,0.11292789876461029,-9.392498970031738,-0.07664560526609421,0.0,0.12999999523162842,-0.02211938425898552,0.02575095370411873,-0.06069790944457054,-0.2672352034909396,-1.4475060568024556,90.03496453539768,0.07664559099466368,0.022103665718030626
205,6110195011000,0.000783102004788816,-0.01661847159266472,0.706985354423523,0.7070324420928955,-0.2830016314983368,-0.037407711148262024,0.0263548344373703,-0.3457181751728058,0.041235893964767456,-10.435805320739746,-0.06706490367650986,0.0,0.12999999523162842,-0.01219847146421671,0.0003269052249379456,-0.06390564888715744,-1.2833871269154091,-1.4100127791917703,90.01197715872966,0.06706490221120613,0.012198402861144642
206,6110229930000,-0.00413306150585413,-0.019832270219922066,0.7065326571464539,0.7073904871940613,-0.2655167281627655,-0.030138373374938965,-0.0007987075368873775,0.09551267325878143,0.7483358383178711,-10.135528564453125,-0.06706490367650986,0.0,0.12999999523162842,-0.005690037272870541,-0.017813466489315033,-0.03494270145893097,-1.9415542831390267,-1.27310413697675,89.95205055941913,0.06706488019169674,0.005675127626390046
